Condition,Data Type,Geography,Sex,Age group type,Prevalence_Age_Group,Fiscal year,Prevalence_Rate,Standard Error,Prevalence_Lower_CI,Prevalence_Upper_CI,Rate CV (%),Case counts,Population_disease,Primary_Specialty,Secondary_Specialty,Mapping_Type,Mapping_Rationale,Province,Specialty,Population_market,Physician_Count,Physicians_per_100k,Service_Volume,Services_per_Physician,Market_Activity_Index,Incidence_Rate,Incidence_Age_Group,Incidence_Lower_CI,Incidence_Upper_CI,Incidence_Evidence_Status,Market_Evidence_Status,Prevalence_Percentile,Geographic_Prevalence_Signal,Market_Activity_Percentile
Acute myocardial infarction,Age-standardized prevalence,Newfoundland and Labrador,Both sexes,Total,20+,2023–2024,2.96,0.0234,2.91,3.0,0.79,16270.0,456845.0,Cardiology,Internal Medicine,Direct,Cardiovascular condition with primary relevance to cardiology,Newfoundland and Labrador,Cardiology,540500,18,3.330249768732655,26674.0,1481.888888888889,0.7118899803377627,264.0,20+,249.0,278.0,Available,Available,1.0,High relative prevalence,0.18518518518518517
Acute myocardial infarction,Age-standardized prevalence,Prince Edward Island,Both sexes,Total,20+,2023–2024,2.64,0.0413,2.56,2.72,1.57,4110.0,144770.0,Cardiology,Internal Medicine,Direct,Cardiovascular condition with primary relevance to cardiology,Prince Edward Island,Cardiology,175800,2,1.1376564277588168,,,,222.0,20+,198.0,248.0,Available,Unavailable_due_to_service_volume,0.8333333333333334,High relative prevalence,
Acute myocardial infarction,Age-standardized prevalence,Nova Scotia,Both sexes,Total,20+,2023–2024,2.7,0.016,2.67,2.73,0.59,28770.0,950930.0,Cardiology,Internal Medicine,Direct,Cardiovascular condition with primary relevance to cardiology,Nova Scotia,Cardiology,1056200,54,5.112668055292558,18560.0,343.7037037037037,0.16511306934429126,244.0,20+,235.0,254.0,Available,Available,0.9166666666666666,High relative prevalence,0.07407407407407407
Acute myocardial infarction,Age-standardized prevalence,New Brunswick,Both sexes,Total,20+,2023–2024,,,,,,,,Cardiology,Internal Medicine,Direct,Cardiovascular condition with primary relevance to cardiology,New Brunswick,Cardiology,835000,35,4.191616766467066,58079.0,1659.4,0.7971651870999739,,20+,,,Unavailable_for_geography,Available,,Evidence unavailable,0.2962962962962963
Acute myocardial infarction,Age-standardized prevalence,Quebec,Both sexes,Total,20+,2023–2024,2.63,0.0058,2.62,2.64,0.22,212455.0,6976160.0,Cardiology,Internal Medicine,Direct,Cardiovascular condition with primary relevance to cardiology,Quebec,Cardiology,8903100,472,5.301524188204109,1557734.0,3300.2838983050847,1.5854353569214197,293.0,20+,289.0,297.0,Available,Available,0.75,High relative prevalence,0.9629629629629629
Acute myocardial infarction,Age-standardized prevalence,Ontario,Both sexes,Total,20+,2023–2024,2.0,0.0039,1.99,2.01,0.19,271590.0,13234780.0,Cardiology,Internal Medicine,Direct,Cardiovascular condition with primary relevance to cardiology,Ontario,Cardiology,15788400,671,4.249955663651795,1850902.0,2758.4232488822654,1.325128953414577,154.0,20+,152.0,156.0,Available,Available,0.3333333333333333,Lower relative prevalence,0.7407407407407407
Acute myocardial infarction,Age-standardized prevalence,Manitoba,Both sexes,Total,20+,2023–2024,2.33,0.0145,2.31,2.36,0.62,25950.0,1151155.0,Cardiology,Internal Medicine,Direct,Cardiovascular condition with primary relevance to cardiology,Manitoba,Cardiology,1461000,42,2.8747433264887063,113730.0,2707.8571428571427,1.3008373182630557,196.0,20+,188.0,205.0,Available,Available,0.5833333333333334,Moderate relative prevalence,0.6296296296296297
Acute myocardial infarction,Age-standardized prevalence,Saskatchewan,Both sexes,Total,20+,2023–2024,2.16,0.0151,2.13,2.19,0.7,20590.0,991790.0,Cardiology,Internal Medicine,Direct,Cardiovascular condition with primary relevance to cardiology,Saskatchewan,Cardiology,1217700,37,3.038515233637185,85481.0,2310.297297297297,1.1098521015165503,174.0,20+,166.0,183.0,Available,Available,0.4166666666666667,Lower relative prevalence,0.4074074074074074
Acute myocardial infarction,Age-standardized prevalence,Alberta,Both sexes,Total,20+,2023–2024,1.93,0.0074,1.92,1.95,0.38,69095.0,4147815.0,Cardiology,Internal Medicine,Direct,Cardiovascular condition with primary relevance to cardiology,Alberta,Cardiology,4734700,167,3.527150611443175,472844.0,2831.4011976047905,1.3601870950004296,147.0,20+,143.0,151.0,Available,Available,0.16666666666666666,Lower relative prevalence,0.8518518518518519
Acute myocardial infarction,Age-standardized prevalence,British Columbia,Both sexes,Total,20+,2023–2024,1.79,0.006,1.78,1.8,0.34,89295.0,4767375.0,Cardiology,Internal Medicine,Direct,Cardiovascular condition with primary relevance to cardiology,British Columbia,Cardiology,5585500,176,3.15101602363262,449957.0,2556.5738636363635,1.228161794829809,156.0,20+,152.0,160.0,Available,Available,0.08333333333333333,Lower relative prevalence,0.5185185185185185
Acute myocardial infarction,Age-standardized prevalence,Yukon,Both sexes,Total,20+,2023–2024,2.19,0.0872,2.03,2.37,3.97,680.0,37815.0,Cardiology,Internal Medicine,Direct,Cardiovascular condition with primary relevance to cardiology,Yukon,Cardiology,45700,0,0.0,,,,269.0,20+,210.0,342.0,Available,Unavailable_due_to_service_volume,0.5,Moderate relative prevalence,
Acute myocardial infarction,Age-standardized prevalence,Northwest Territories,Both sexes,Total,20+,2023–2024,2.36,0.1072,2.15,2.58,4.55,560.0,33585.0,Cardiology,Internal Medicine,Direct,Cardiovascular condition with primary relevance to cardiology,Northwest Territories,Cardiology,44300,0,0.0,,,,217.0,20+,157.0,303.0,Available,Unavailable_due_to_service_volume,0.6666666666666666,Moderate relative prevalence,
Acute myocardial infarction,Age-standardized prevalence,Nunavut,Both sexes,Total,20+,2023–2024,1.99,0.1454,1.71,2.33,7.32,275.0,26370.0,Cardiology,Internal Medicine,Direct,Cardiovascular condition with primary relevance to cardiology,Nunavut,Cardiology,40900,0,0.0,,,,189.0,20+,118.0,357.0,Available,Unavailable_due_to_service_volume,0.25,Lower relative prevalence,
Autism,Age-standardized prevalence,Newfoundland and Labrador,Both sexes,Total,1–19,2023–2024,,,,,,,,Pediatrics,Psychiatry,Multi_specialty,Relevant to pediatric care with additional psychiatric and behavioral health relevance,Newfoundland and Labrador,Pediatrics,540500,61,11.285846438482888,32405.0,531.2295081967213,0.2551992709983527,,,,,Not_available_for_condition,Available,,Evidence unavailable,0.3409090909090909
Autism,Age-standardized prevalence,Prince Edward Island,Both sexes,Total,1–19,2023–2024,2.95,0.0934,2.77,3.14,3.17,1000.0,33690.0,Pediatrics,Psychiatry,Multi_specialty,Relevant to pediatric care with additional psychiatric and behavioral health relevance,Prince Edward Island,Pediatrics,175800,18,10.238907849829353,3391.0,188.38888888888889,0.09050082189867861,,,,,Not_available_for_condition,Available,1.0,High relative prevalence,0.1590909090909091
Autism,Age-standardized prevalence,Nova Scotia,Both sexes,Total,1–19,2023–2024,1.88,0.0307,1.82,1.94,1.63,3765.0,198110.0,Pediatrics,Psychiatry,Multi_specialty,Relevant to pediatric care with additional psychiatric and behavioral health relevance,Nova Scotia,Pediatrics,1056200,103,9.75194092028025,23768.0,230.7572815533981,0.1108543277836543,,,,,Not_available_for_condition,Available,0.7,Moderate relative prevalence,0.25
Autism,Age-standardized prevalence,New Brunswick,Both sexes,Total,1–19,2023–2024,,,,,,,,Pediatrics,Psychiatry,Multi_specialty,Relevant to pediatric care with additional psychiatric and behavioral health relevance,New Brunswick,Pediatrics,835000,63,7.544910179640719,35188.0,558.5396825396825,0.26831890474539355,,,,,Not_available_for_condition,Available,,Evidence unavailable,0.4318181818181818
Autism,Age-standardized prevalence,Quebec,Both sexes,Total,1–19,2023–2024,1.76,0.0099,1.74,1.78,0.56,31370.0,1776625.0,Pediatrics,Psychiatry,Multi_specialty,Relevant to pediatric care with additional psychiatric and behavioral health relevance,Quebec,Pediatrics,8903100,702,7.8848940256764495,1750210.0,2493.1766381766383,1.1977061716556368,,,,,Not_available_for_condition,Available,0.5,Moderate relative prevalence,0.9772727272727273
Autism,Age-standardized prevalence,Ontario,Both sexes,Total,1–19,2023–2024,2.65,0.0092,2.64,2.67,0.35,84080.0,3164130.0,Pediatrics,Psychiatry,Multi_specialty,Relevant to pediatric care with additional psychiatric and behavioral health relevance,Ontario,Pediatrics,15788400,1372,8.689924248182209,3095592.0,2256.262390670554,1.0838940766575427,,,,,Not_available_for_condition,Available,0.8,High relative prevalence,0.7954545454545454
Autism,Age-standardized prevalence,Manitoba,Both sexes,Total,1–19,2023–2024,1.5,0.0207,1.46,1.54,1.37,5295.0,350780.0,Pediatrics,Psychiatry,Multi_specialty,Relevant to pediatric care with additional psychiatric and behavioral health relevance,Manitoba,Pediatrics,1461000,143,9.787816563997264,324589.0,2269.853146853147,1.0904229893338877,,,,,Not_available_for_condition,Available,0.3,Lower relative prevalence,0.8863636363636364
Autism,Age-standardized prevalence,Saskatchewan,Both sexes,Total,1–19,2023–2024,1.32,0.0204,1.28,1.36,1.54,4220.0,316795.0,Pediatrics,Psychiatry,Multi_specialty,Relevant to pediatric care with additional psychiatric and behavioral health relevance,Saskatchewan,Pediatrics,1217700,98,8.047959267471462,79529.0,811.5204081632653,0.3898492334632497,,,,,Not_available_for_condition,Available,0.1,Lower relative prevalence,0.5227272727272727
Autism,Age-standardized prevalence,Alberta,Both sexes,Total,1–19,2023–2024,1.79,0.0122,1.77,1.81,0.68,21730.0,1204015.0,Pediatrics,Psychiatry,Multi_specialty,Relevant to pediatric care with additional psychiatric and behavioral health relevance,Alberta,Pediatrics,4734700,552,11.658605613872052,955712.0,1731.3623188405795,0.8317354265616459,,,,,Not_available_for_condition,Available,0.6,Moderate relative prevalence,0.7045454545454546
