Condition,Geography,Earliest_Year,Latest_Year,Earliest_Prevalence,Latest_Prevalence,Years_Observed,Prevalence_Change,Trend_Direction
Acute myocardial infarction,Alberta,2000,2023,1.03,1.93,24,0.8999999999999999,Increasing
Acute myocardial infarction,British Columbia,2000,2023,1.1,1.79,24,0.69,Increasing
Acute myocardial infarction,Manitoba,2000,2023,1.12,2.33,24,1.21,Increasing
Acute myocardial infarction,New Brunswick,2000,2023,1.71,2.93,24,1.2200000000000002,Increasing
Acute myocardial infarction,Newfoundland and Labrador,2000,2023,2.75,2.96,24,0.20999999999999996,Increasing
Acute myocardial infarction,Northwest Territories,2000,2023,0.99,2.36,24,1.3699999999999999,Increasing
Acute myocardial infarction,Nova Scotia,2000,2023,1.5,2.7,24,1.2000000000000002,Increasing
Acute myocardial infarction,Nunavut,2000,2023,0.75,1.99,24,1.24,Increasing
Acute myocardial infarction,Ontario,2000,2023,1.43,2.0,24,0.5700000000000001,Increasing
Acute myocardial infarction,Prince Edward Island,2000,2023,1.5,2.64,24,1.1400000000000001,Increasing
Acute myocardial infarction,Quebec,2000,2023,1.34,2.63,24,1.2899999999999998,Increasing
Acute myocardial infarction,Saskatchewan,2000,2023,1.4,2.16,24,0.7600000000000002,Increasing
Acute myocardial infarction,Yukon,2000,2023,1.19,2.19,24,1.0,Increasing
Arthritis,Alberta,2000,2023,9.05,8.39,24,-0.6600000000000001,Decreasing
Arthritis,British Columbia,2000,2023,7.04,7.02,24,-0.020000000000000462,Decreasing
Arthritis,Manitoba,2000,2023,9.23,8.89,24,-0.33999999999999986,Decreasing
Arthritis,New Brunswick,2000,2023,,,24,,Evidence unavailable
Arthritis,Newfoundland and Labrador,2000,2023,7.89,7.65,24,-0.23999999999999932,Decreasing
Arthritis,Northwest Territories,2000,2023,11.69,4.97,24,-6.72,Decreasing
Arthritis,Nova Scotia,2000,2023,8.64,5.4,24,-3.24,Decreasing
Arthritis,Nunavut,2000,2023,16.99,3.16,24,-13.829999999999998,Decreasing
Arthritis,Ontario,2000,2023,8.62,6.22,24,-2.3999999999999995,Decreasing
Arthritis,Prince Edward Island,2000,2023,8.04,6.62,24,-1.419999999999999,Decreasing
Arthritis,Quebec,2000,2023,6.35,4.11,24,-2.2399999999999993,Decreasing
Arthritis,Saskatchewan,2000,2023,9.85,7.99,24,-1.8599999999999994,Decreasing
Arthritis,Yukon,2000,2023,6.53,7.91,24,1.38,Increasing
Asthma,Alberta,2000,2023,6.59,10.54,24,3.9499999999999993,Increasing
Asthma,British Columbia,2000,2023,5.25,9.8,24,4.550000000000001,Increasing
Asthma,Manitoba,2000,2023,6.27,13.16,24,6.890000000000001,Increasing
Asthma,New Brunswick,2000,2023,,,24,,Evidence unavailable
Asthma,Newfoundland and Labrador,2000,2023,8.44,11.55,24,3.110000000000001,Increasing
Asthma,Northwest Territories,2000,2023,4.75,8.53,24,3.7799999999999994,Increasing
Asthma,Nova Scotia,2000,2023,6.57,11.01,24,4.4399999999999995,Increasing
Asthma,Nunavut,2000,2023,2.48,4.49,24,2.0100000000000002,Increasing
Asthma,Ontario,2000,2023,7.44,13.08,24,5.64,Increasing
Asthma,Prince Edward Island,2000,2023,6.98,10.71,24,3.7300000000000004,Increasing
Asthma,Quebec,2000,2023,5.77,11.42,24,5.65,Increasing
Asthma,Saskatchewan,2000,2023,6.01,11.28,24,5.27,Increasing
Asthma,Yukon,2000,2023,6.49,7.6,24,1.1099999999999994,Increasing
Autism,Alberta,2000,2023,0.18,1.79,24,1.61,Increasing
Autism,British Columbia,2000,2023,0.11,2.93,24,2.8200000000000003,Increasing
Autism,Manitoba,2000,2023,0.2,1.5,24,1.3,Increasing
Autism,New Brunswick,2000,2023,,,24,,Evidence unavailable
Autism,Newfoundland and Labrador,2000,2023,,,24,,Evidence unavailable
Autism,Northwest Territories,2000,2023,0.19,1.71,24,1.52,Increasing
Autism,Nova Scotia,2000,2023,0.17,1.88,24,1.71,Increasing
Autism,Nunavut,2000,2023,,,24,,Evidence unavailable
Autism,Ontario,2000,2023,0.16,2.65,24,2.4899999999999998,Increasing
Autism,Prince Edward Island,2000,2023,0.23,2.95,24,2.72,Increasing
Autism,Quebec,2000,2023,0.1,1.76,24,1.66,Increasing
Autism,Saskatchewan,2000,2023,0.06,1.32,24,1.26,Increasing
Autism,Yukon,2000,2023,0.13,1.44,24,1.31,Increasing
Chronic obstructive pulmonary disease,Alberta,2000,2023,7.36,9.14,24,1.7800000000000002,Increasing
Chronic obstructive pulmonary disease,British Columbia,2000,2023,5.69,9.57,24,3.88,Increasing
Chronic obstructive pulmonary disease,Manitoba,2000,2023,8.76,10.74,24,1.9800000000000004,Increasing
Chronic obstructive pulmonary disease,New Brunswick,2000,2023,,,24,,Evidence unavailable
