Product_ID,DRUG_CODE,DIN,Brand_Name,Descriptor,Product_Categorization,AI_Group_No,Pediatric_Flag,Last_Update_Date
PROD_15,15,00015229,AVENTYL,,,0102630002,N,22-MAR-2025
PROD_16,16,00015237,AVENTYL,,,0102630001,N,22-MAR-2025
PROD_57,57,00050520,MINERALE LEGERE HUILE,,,0126693001,N,22-MAR-2025
PROD_68,68,00050466,METHYLENE BLEU LIQ 1%,,,0106816001,N,22-MAR-2025
PROD_115,115,00037818,BACTERIOSTATIC SODIUM CHLORIDE INJECTION USP,,,0100053002,N,22-MAR-2025
PROD_117,117,00038202,BACTERIOSTATIC WATER FOR INJECTION USP,"MULTIDOSE VIALS, Q.S. TO 30 ML",,0105143002,N,22-MAR-2025
PROD_160,160,00009881,PAPAVERINE HYDROCHLORIDE INJECTION USP,,,0107115001,N,22-MAR-2025
PROD_193,193,00013609,GRAVOL SUPPOSITORIES,,LS - DIMENHYDRINATE,0102747003,N,22-MAR-2025
PROD_198,198,00013617,OVOL DROPS,,LS - ANTIFLATULENTS,0131347009,N,22-MAR-2025
PROD_211,211,00001961,XYLOCAINE OINTMENT 5%,,,0103565001,N,22-MAR-2025
PROD_212,212,00001694,XYLOCAINE JELLY 2%,SINGLE-USE TUBE,,0101280001,N,12-AUG-2026
PROD_227,227,00038172,QUELICIN,,,0105141001,N,22-MAR-2025
PROD_228,228,00037834,SODIUM CHLORIDE IRRIGATION USP,,,0100053002,N,22-APR-2026
PROD_250,250,00213071,COSMEGEN,,,0105865001,N,05-DEC-2025
PROD_254,254,00035017,ALCON ATROPINE,,,0104748001,N,22-MAR-2025
PROD_259,259,00042676,MAXITROL,SUSPENSION,,0305643001,N,14-AUG-2026
PROD_260,260,00000981,MYDRIACYL,,,0107663002,N,22-MAR-2025
PROD_287,287,00016055,CUPRIMINE,,,0100025001,N,22-MAR-2025
PROD_290,290,00021016,TEVA-QUININE,,,0106604002,N,26-JUN-2026
PROD_316,316,00024694,ATARAX,,,0106172001,N,31-DEC-2025
PROD_354,354,00028096,CELESTONE SOLUSPAN,,,0206301001,N,22-MAR-2025
PROD_405,405,00178799,PHENOBARB,,,0105950003,N,11-JUN-2026
PROD_406,406,00178802,PHENOBARB,,,0105950005,N,11-JUN-2026
PROD_407,407,00178810,PHENOBARB,,,0105950004,N,11-JUN-2026
PROD_408,408,00178829,PHENOBARB,,,0105950002,N,11-JUN-2026
PROD_415,415,00027243,DIHYDROERGOTAMINE (DHE),,,0108813001,N,23-APR-2026
PROD_432,432,00030910,CORTEF,,,0106344002,N,19-JUN-2026
PROD_433,433,00030929,CORTEF,,,0106344013,N,19-JUN-2026
PROD_507,507,00021695,TEVA-PREDNISONE,,,0106321001,N,24-JUN-2026
PROD_579,579,00021288,TEVA-PHENIRAM,,,0100615003,N,22-MAR-2025
PROD_585,585,00001732,XYLOCAINE 1%,,,0101280004,N,22-MAR-2025
PROD_587,587,00036641,XYLOCAINE 2%,"2 ML, 5 ML, AND 10 ML SINGLE-USE AMPOULES",,0101280001,N,06-AUG-2026
PROD_589,589,00001791,XYLOCAINE 1% W EPINEPHRINE 1:100000,,,0201284001,N,22-MAR-2025
PROD_590,590,00001805,XYLOCAINE 1% W EPINEPHRINE 1:200000,,,0201284002,N,22-MAR-2025
PROD_631,631,00074462,LOCACORTEN VIOFORM,,,0204579001,N,29-DEC-2025
PROD_636,636,00151866,OCTOCAINE HCL 2% EPINEPHRINE 1:100000,,,0201284005,N,22-MAR-2025
PROD_651,651,00021008,TEVA-QUININE,,,0106604001,N,26-JUN-2026
PROD_721,721,00107875,FLEET ENEMA MINERAL OIL,,,0136741002,N,22-MAR-2025
PROD_728,728,00115630,LIBRAX,,,0200614001,N,22-MAR-2025
PROD_731,731,00023485,ZARONTIN SYRUP,,,0107470001,N,22-MAR-2025
PROD_771,771,00022799,ZARONTIN,,,0107470002,N,22-MAR-2025
PROD_772,772,00023949,THYROID,,,0107351004,N,22-MAR-2025
PROD_773,773,00023957,THYROID,,,0107351001,N,22-MAR-2025
PROD_774,774,00023965,THYROID,,,0107351002,N,22-MAR-2025
PROD_777,777,00010405,TEGRETOL,,,0108674001,N,07-AUG-2026
PROD_778,778,00021474,TEVA-HYDROCHLOROTHIAZIDE,,,0101048002,N,22-MAR-2025
PROD_780,780,00001007,MYDRIACYL,,,0107663001,N,22-MAR-2025
PROD_789,789,00030767,DEPO-MEDROL,,,0106292004,N,25-JUN-2026
PROD_793,793,00000809,ALCON TEARS 0.5%,,,0108634001,N,22-MAR-2025
PROD_794,794,00000817,ALCON TEARS 1%,,,0108634002,N,22-MAR-2025
PROD_810,810,00074500,VIOFORM HYDROCORTISONE,,,0204581001,N,07-AUG-2026
PROD_812,812,00021482,TEVA-HYDROCHLOROTHIAZIDE,,,0101048001,N,22-MAR-2025
PROD_817,817,00037796,SODIUM CHLORIDE INJECTION USP,SINGLE-USE VIAL,,0100053002,N,13-AUG-2026
PROD_868,868,00074454,LOCACORTEN VIOFORM EARDROPS,,,0204579002,N,29-DEC-2025
PROD_872,872,00176192,FIORINAL-C 1/4,,,0401238002,N,22-MAR-2025
PROD_873,873,00176206,FIORINAL-C 1/2,,,0401238001,N,22-MAR-2025
PROD_933,933,00029149,FUNGIZONE,,,0105864001,N,27-JUL-2026
PROD_937,937,00036323,LOMOTIL,,,0203532001,N,22-MAR-2025
PROD_938,938,00012750,MATULANE,,,0102395001,N,22-MAR-2025
PROD_940,940,00155357,ADRENALIN,"PRESERVATIVE-FREE, AMPOULES",,0104871002,N,20-AUG-2026
PROD_943,943,00050024,CODEINE PHOSPHATE SYRUP,,,0104398001,N,11-JUN-2026
PROD_944,944,00024325,SINEQUAN,,,0107703006,N,22-MAR-2025
PROD_945,945,00024333,SINEQUAN,,,0107703001,N,22-MAR-2025
PROD_946,946,00024341,SINEQUAN,,,0107703002,N,22-MAR-2025
PROD_959,959,00004618,MYLERAN,,,0103273001,N,22-MAR-2025
PROD_960,960,00004723,PURINETHOL,,,0134920001,N,23-JUN-2026
PROD_1036,1036,00022772,DILANTIN,,,0101375001,N,22-MAR-2025
PROD_1037,1037,00022780,DILANTIN,,,0101375002,N,22-MAR-2025
PROD_1086,1086,00023698,DILANTIN INFATABS,,,0101372003,N,22-MAR-2025
PROD_1090,1090,00065927,NEO-LARYNGOBIS,,,0108681002,N,19-JUN-2026
PROD_1124,1124,00020885,TEVA-AMPICILLIN,,,0105872001,N,24-JUN-2026
