Therapy_Class,Product_ID,DIN,Brand_Name,AI_Group_No
Antidiabetic,PROD_11727,01913662,APO GLYBURIDE TAB 5MG,0108708001
Antidiabetic,PROD_62536,02239081,RIVA-METFORMIN,0101773001
Antidiabetic,PROD_74296,02257726,TEVA-METFORMIN,0101773001
Antihypertensive,PROD_75765,02272113,MYLAN-AMLODIPINE,0131437002
Antihypertensive,PROD_77062,02285118,TEVA-LISINOPRIL (TYPE Z),0121550003
Antihypertensive,PROD_79542,02309750,PMS-LOSARTAN,0127971001
Cardiovascular,PROD_73770,02252767,APO-CLOPIDOGREL,0134440001
Cardiovascular,PROD_78058,02295261,APO-ATORVASTATIN,0133055001
Cardiovascular,PROD_82362,02337975,APO-ROSUVASTATIN,0148963004
Heart failure therapy,PROD_2333,00337730,TEVA-FUROSEMIDE,0101944002
Heart failure therapy,PROD_5646,00613215,TEVA-SPIRONOLACTONE,0106462001
Heart failure therapy,PROD_70034,02245914,PMS-CARVEDILOL,0122683003
Antithrombotic / secondary prevention,PROD_19474,02150328,ASPIRIN REGULAR STRENGTH,0101169001
Antithrombotic / secondary prevention,PROD_61080,02237726,ASPIRIN 81MG,0101169013
Antithrombotic / secondary prevention,PROD_66470,02242680,TARO-WARFARIN,0104597002
Respiratory,PROD_13550,01926934,TEVA-SALBUTAMOL STERINEBS P.F.,0108887007
Respiratory,PROD_49895,02230648,MYLAN-BUDESONIDE AQ,0116807002
Respiratory,PROD_69769,02245669,APO-SALBUTAMOL HFA,0108887003
Analgesic / anti-inflammatory,PROD_4980,00522651,APO-NAPROXEN,0109634001
Analgesic / anti-inflammatory,PROD_5432,00506052,APO-IBUPROFEN,0108883002
Analgesic / anti-inflammatory,PROD_5917,00585114,APO-IBUPROFEN TAB 600MG,0108883003
Bone health,PROD_73098,02248730,APO-ALENDRONATE,0150323002
Bone health,PROD_78367,02298376,TEVA-RISEDRONATE,0135301002
Immunomodulatory / anti-inflammatory,PROD_19681,02099705,METHOTREXATE SODIUM INJECTION,0107545002
Immunomodulatory / anti-inflammatory,PROD_44161,02170698,PMS-METHOTREXATE,0107545001
Immunomodulatory / anti-inflammatory,PROD_74173,02256495,APO-LEFLUNOMIDE,0140182001
Disease-modifying therapy,PROD_103009,02541440,GLATIRAMER ACETATE INJECTION,0132525001
Parkinson's therapy,PROD_68471,02244495,TEVA-LEVOCARBIDOPA,0210315003
Parkinson's therapy,PROD_77772,02292378,APO-PRAMIPEXOLE,0152169001
Antiepileptic,PROD_75964,02274183,TEVA-LEVETIRACETAM,0148843001
Antiepileptic,PROD_9242,00782718,TEVA-CARBAMAZEPINE,0108674001
Cognitive disorder therapy,PROD_80779,02322331,PMS-DONEPEZIL,0131548001
Cognitive disorder therapy,PROD_80653,02321130,PMS-MEMANTINE,0150423001
Cognitive disorder therapy,PROD_82234,02336715,APO-RIVASTIGMINE,0140521001
Antipsychotic,PROD_73690,02252007,PMS-RISPERIDONE,0124332006
Antipsychotic,PROD_76239,02276712,TEVA-OLANZAPINE,0128783001
